Day,Case#,Arrival,Start,End,Service,Inter-Arrival,TurnAround,WaitTime,ResponseTime
3,101,9.00,9.00,9.15,9.0,0.0,9.0,0.0,0.0
3,102,9.08,9.08,9.13,3.0,5.0,3.0,0.0,0.0
3,103,9.17,9.18,9.27,5.0,5.0,6.0,1.0,1.0
3,104,9.20,9.28,9.33,3.0,2.0,8.0,5.0,5.0
3,105,9.42,9.43,9.50,4.0,13.0,5.0,1.0,1.0
3,106,9.45,9.50,9.67,10.0,2.0,13.0,3.0,3.0
3,107,9.68,9.72,9.78,4.0,14.0,6.0,2.0,2.0
3,108,9.75,9.82,9.88,4.0,4.0,8.0,4.0,4.0
3,109,9.92,9.98,10.08,6.0,10.0,10.0,4.0,4.0
3,110,10.17,10.20,10.37,10.0,15.0,12.0,2.0,2.0
3,111,10.25,10.33,10.50,10.0,5.0,15.0,5.0,5.0
3,112,10.37,10.37,10.48,7.0,7.0,7.0,0.0,0.0
3,113,10.42,10.43,10.60,10.0,3.0,11.0,1.0,1.0
3,114,10.53,10.55,10.67,7.0,7.0,8.0,1.0,1.0
3,115,10.58,10.62,10.70,5.0,3.0,7.0,2.0,2.0
3,116,10.67,10.68,10.83,9.0,5.0,10.0,1.0,1.0
3,117,10.78,10.82,10.95,8.0,7.0,10.0,2.0,2.0
3,118,10.92,10.95,10.98,2.0,8.0,4.0,2.0,2.0
3,119,10.98,11.17,11.33,10.0,4.0,21.0,11.0,11.0
3,120,11.20,11.22,11.25,2.0,13.0,3.0,1.0,1.0
3,121,11.23,11.28,11.37,5.0,2.0,8.0,3.0,3.0
3,122,11.33,11.35,11.50,9.0,6.0,10.0,1.0,1.0
3,123,11.38,11.40,11.58,11.0,3.0,12.0,1.0,1.0
3,124,11.43,11.47,11.50,2.0,3.0,4.0,2.0,2.0
3,125,11.50,11.53,11.67,8.0,4.0,10.0,2.0,2.0
3,126,11.67,11.70,11.83,8.0,10.0,10.0,2.0,2.0
3,127,11.83,11.87,11.98,7.0,10.0,9.0,2.0,2.0
3,128,11.92,12.00,12.17,10.0,5.0,15.0,5.0,5.0
3,129,12.08,12.10,12.20,6.0,10.0,7.0,1.0,1.0
3,130,12.15,12.18,12.33,9.0,4.0,11.0,2.0,2.0
3,131,12.23,12.33,12.50,10.0,5.0,16.0,6.0,6.0
3,132,12.42,12.43,12.53,6.0,11.0,7.0,1.0,1.0
3,133,12.48,12.50,12.70,12.0,4.0,13.0,1.0,1.0
3,134,12.67,12.68,12.82,8.0,11.0,9.0,1.0,1.0
3,135,12.83,12.87,12.97,6.0,10.0,8.0,2.0,2.0
3,136,13.08,13.12,13.22,6.0,15.0,8.0,2.0,2.0
3,137,13.23,13.27,13.32,3.0,9.0,5.0,2.0,2.0
3,138,13.42,13.43,13.53,6.0,11.0,7.0,1.0,1.0
3,139,13.48,13.55,13.67,7.0,4.0,11.0,4.0,4.0
3,140,13.58,13.65,13.75,6.0,6.0,10.0,4.0,4.0
3,141,13.70,13.73,13.83,6.0,7.0,8.0,2.0,2.0
3,142,13.97,14.00,14.08,5.0,16.0,7.0,2.0,2.0
3,143,14.17,14.25,14.38,8.0,12.0,13.0,5.0,5.0
3,144,14.42,14.47,14.53,4.0,15.0,7.0,3.0,3.0
3,145,14.55,14.60,14.65,3.0,8.0,6.0,3.0,3.0
3,146,14.63,14.75,14.88,8.0,5.0,15.0,7.0,7.0
3,147,14.83,14.95,15.20,15.0,12.0,22.0,7.0,7.0
3,148,15.03,15.18,15.33,9.0,12.0,18.0,9.0,9.0
3,149,15.27,15.32,15.50,11.0,14.0,14.0,3.0,3.0
3,150,15.67,15.72,15.83,7.0,24.0,10.0,3.0,3.0
